datetime,open,high,low,close,volume,session,source
2026-07-07 06:48:00,98.71499,98.745,98.68,98.68494,1195,aftermarket,kis
2026-07-07 06:49:00,98.71,98.713,98.68,98.713,1477,aftermarket,kis
2026-07-07 06:50:00,98.735,98.735,98.68,98.68,942,aftermarket,kis
2026-07-07 06:51:00,98.691,98.7,98.674,98.674,44788,aftermarket,kis
2026-07-07 06:52:00,98.674,98.815,98.65,98.773,1189,aftermarket,kis
2026-07-07 06:53:00,98.798,98.8305,98.7195,98.82,377,aftermarket,kis
2026-07-07 06:54:00,98.83,98.849,98.8,98.82797,783,aftermarket,kis
2026-07-07 06:55:00,98.802,98.83,98.8,98.811,732,aftermarket,kis
2026-07-07 06:56:00,98.8,98.815,98.8,98.81,1457,aftermarket,kis
2026-07-07 06:57:00,98.81,98.825,98.77,98.81,895,aftermarket,kis
2026-07-07 06:58:00,98.825,98.851,98.80325,98.85,1224,aftermarket,kis
2026-07-07 06:59:00,98.84988,98.88,98.812,98.87,1684,aftermarket,kis
2026-07-07 07:00:00,98.851,98.874,98.73,98.75,2480,aftermarket,kis
2026-07-07 07:01:00,98.874,98.875,98.8,98.864,511,aftermarket,kis
2026-07-07 07:02:00,98.867,98.9,98.815,98.862,806,aftermarket,kis
2026-07-07 07:03:00,98.9,98.9,98.815,98.875,398,aftermarket,kis
2026-07-07 07:04:00,98.8672,98.949,98.86,98.949,813,aftermarket,kis
2026-07-07 07:05:00,98.901,98.95,98.757,98.79,1578,aftermarket,kis
2026-07-07 07:06:00,98.789,98.899,98.751,98.86031,449,aftermarket,kis
2026-07-07 07:07:00,98.825,98.825,98.701,98.734,1104,aftermarket,kis
2026-07-07 07:08:00,98.735,98.8,98.701,98.751,670,aftermarket,kis
2026-07-07 07:09:00,98.75938,98.775,98.701,98.76,390,aftermarket,kis
2026-07-07 07:10:00,98.76,98.9,98.743,98.876,569,aftermarket,kis
2026-07-07 07:11:00,98.861,98.9,98.821,98.9,855,aftermarket,kis
2026-07-07 07:12:00,98.8692,98.9,98.85,98.8765,1891,aftermarket,kis
2026-07-07 07:13:00,98.9,98.9,98.85,98.87,619,aftermarket,kis
2026-07-07 07:14:00,98.875,98.89,98.8552,98.8552,1542,aftermarket,kis
2026-07-07 07:15:00,98.8848,98.95,98.861,98.9,1610,aftermarket,kis
2026-07-07 07:16:00,98.9,98.95,98.85,98.88856,434,aftermarket,kis
2026-07-07 07:17:00,98.874,98.9,98.85,98.862,113,aftermarket,kis
2026-07-07 07:18:00,98.821,98.95,98.821,98.95,486,aftermarket,kis
2026-07-07 07:19:00,98.938,98.95,98.9,98.93,873,aftermarket,kis
2026-07-07 07:20:00,98.938,99.0,98.938,98.9999,1945,aftermarket,kis
2026-07-07 07:21:00,98.98765,99.065,98.97,99.065,3565,aftermarket,kis
2026-07-07 07:22:00,99.073,99.083,99.001,99.044,1110,aftermarket,kis
2026-07-07 07:23:00,99.0,99.07,99.0,99.05,166,aftermarket,kis
2026-07-07 07:24:00,99.0492,99.07,98.9578,99.005,1926,aftermarket,kis
2026-07-07 07:25:00,99.0,99.0,98.9,98.975,617,aftermarket,kis
2026-07-07 07:26:00,98.92,99.0,98.899,98.9,329,aftermarket,kis
2026-07-07 07:27:00,98.91,98.999,98.875,98.9,1417,aftermarket,kis
2026-07-07 07:28:00,98.9,98.975,98.87825,98.97,613,aftermarket,kis
2026-07-07 07:29:00,98.924,98.97,98.809,98.85649,1012,aftermarket,kis
2026-07-07 07:30:00,98.85595,98.9,98.8,98.898,959,aftermarket,kis
2026-07-07 07:31:00,98.89,98.905,98.85,98.88406,953,aftermarket,kis
2026-07-07 07:32:00,98.895,98.975,98.85144,98.97032,949,aftermarket,kis
